name,salary,passing_att,passing_cmp,passing_yds,passing_ints,passing_tds,fantasy_points
D.Brees,13000000,673,471,5207,15,37,328
M.Ryan,15750000,534,373,4944,7,38,348
K.Cousins,23943600,606,406,4917,12,25,282
A.Rodgers,12550000,610,401,4428,7,40,363
P.Rivers,11000000,578,349,4390,21,33,268
M.Stafford,1000000,594,388,4327,10,24,271
J.Flacco,6000000,673,437,4317,15,20,235
C.Palmer,15500000,598,365,4237,14,26,250
R.Wilson,615000,546,353,4219,11,21,264
A.Dalton,13100000,563,364,4206,8,18,242
J.Winston,615000,568,345,4090,18,28,261
E.Manning,13000000,598,377,4027,16,26,232
D.Carr,5000000,559,356,3933,6,28,273
B.Bortles,3236565,625,368,3905,16,23,263
S.Bradford,14000000,552,395,3877,5,20,230
B.Roethlisberger,12000000,509,328,3819,13,29,249
C.Wentz,1662561,607,379,3782,14,16,206
D.Prescott,540000,459,311,3667,4,23,258
T.Brady,1000000,432,291,3554,2,28,258
C.Newton,13166666,509,270,3509,14,19,227
A.Smith,1250000,489,328,3502,8,15,201
M.Mariota,615000,451,276,3426,9,26,258
T.Siemian,615000,486,289,3401,10,18,195
T.Taylor,465000,437,270,3023,6,17,238
B.Osweiler,775000,510,301,2957,16,15,158
R.Fitzpatrick,1750000,404,229,2709,17,12,135
C.Keenum,950000,322,196,2201,11,9,107
B.Hoyer,476471,200,134,1445,0,6,80
C.Kessler,604049,195,128,1380,2,6,78
J.McCown,3000000,165,90,1100,6,6,60
J.Goff,1719894,205,112,1089,7,5,50
J.Cutler,5000000,137,81,1059,5,4,50
B.Gabbert,900000,160,91,925,6,5,60
R.Griffin,875000,147,87,886,3,2,56
M.Moore,1750000,87,55,721,3,8,53
L.Jones,1900000,86,53,558,2,4,33
T.Savage,690000,73,46,461,0,0,19
D.Anderson,1550000,53,36,453,5,2,18
N.Foles,1000000,55,36,410,0,3,27
J.Brissett,580038,55,34,400,0,0,24
M.Cassel,1750000,51,30,284,2,2,15
S.Tolzien,1750000,37,23,216,2,1,8
